city,country,latitude,longitude,year,co2,life_expectancy,mortality_rate
Alger,Algeria,36.7538,3.0588,2010.0,118.353,74.7,0.26
Alger,Algeria,36.7538,3.0588,2010.0,118.353,74.7,1.11
Alger,Algeria,36.7538,3.0588,2010.0,118.353,74.7,1.44
Alger,Algeria,36.7538,3.0588,2010.0,118.353,74.7,9.78
Alger,Algeria,36.7538,3.0588,2010.0,118.353,74.7,10.08
Alger,Algeria,36.7538,3.0588,2010.0,118.353,74.7,1.93
Alger,Algeria,36.7538,3.0588,2010.0,118.353,74.7,2.0
Alger,Algeria,36.7538,3.0588,2010.0,118.353,74.7,2.46
Alger,Algeria,36.7538,3.0588,2010.0,118.353,74.7,32.12
Alger,Algeria,36.7538,3.0588,2010.0,118.353,74.7,34.61
Alger,Algeria,36.7538,3.0588,2010.0,118.353,74.7,37.18
Alger,Algeria,36.7538,3.0588,2010.0,118.353,74.7,4.09
Alger,Algeria,36.7538,3.0588,2010.0,118.353,74.7,3.88
Alger,Algeria,36.7538,3.0588,2010.0,118.353,74.7,4.32
Alger,Algeria,36.7538,3.0588,2010.0,118.353,74.7,47.77
Alger,Algeria,36.7538,3.0588,2010.0,118.353,74.7,51.51
Alger,Algeria,36.7538,3.0588,2010.0,118.353,74.7,55.42
Alger,Algeria,36.7538,3.0588,2010.0,118.353,74.7,9.46
Alger,Algeria,36.7538,3.0588,2011.0,125.095,74.9,0.26
Alger,Algeria,36.7538,3.0588,2011.0,125.095,74.9,1.12
Alger,Algeria,36.7538,3.0588,2011.0,125.095,74.9,1.44
Alger,Algeria,36.7538,3.0588,2011.0,125.095,74.9,9.71
Alger,Algeria,36.7538,3.0588,2011.0,125.095,74.9,9.98
Alger,Algeria,36.7538,3.0588,2011.0,125.095,74.9,2.0
Alger,Algeria,36.7538,3.0588,2011.0,125.095,74.9,1.93
Alger,Algeria,36.7538,3.0588,2011.0,125.095,74.9,2.47
Alger,Algeria,36.7538,3.0588,2011.0,125.095,74.9,31.84
Alger,Algeria,36.7538,3.0588,2011.0,125.095,74.9,34.38
Alger,Algeria,36.7538,3.0588,2011.0,125.095,74.9,36.99
Alger,Algeria,36.7538,3.0588,2011.0,125.095,74.9,4.03
Alger,Algeria,36.7538,3.0588,2011.0,125.095,74.9,3.81
Alger,Algeria,36.7538,3.0588,2011.0,125.095,74.9,4.27
Alger,Algeria,36.7538,3.0588,2011.0,125.095,74.9,47.33
Alger,Algeria,36.7538,3.0588,2011.0,125.095,74.9,51.16
Alger,Algeria,36.7538,3.0588,2011.0,125.095,74.9,55.16
Alger,Algeria,36.7538,3.0588,2011.0,125.095,74.9,9.42
Alger,Algeria,36.7538,3.0588,2012.0,135.674,75.1,0.28
Alger,Algeria,36.7538,3.0588,2012.0,135.674,75.1,1.47
Alger,Algeria,36.7538,3.0588,2012.0,135.674,75.1,1.16
Alger,Algeria,36.7538,3.0588,2012.0,135.674,75.1,9.55
Alger,Algeria,36.7538,3.0588,2012.0,135.674,75.1,9.79
Alger,Algeria,36.7538,3.0588,2012.0,135.674,75.1,10.02
Alger,Algeria,36.7538,3.0588,2012.0,135.674,75.1,1.98
Alger,Algeria,36.7538,3.0588,2012.0,135.674,75.1,2.08
Alger,Algeria,36.7538,3.0588,2012.0,135.674,75.1,2.54
Alger,Algeria,36.7538,3.0588,2012.0,135.674,75.1,31.75
Alger,Algeria,36.7538,3.0588,2012.0,135.674,75.1,34.41
Alger,Algeria,36.7538,3.0588,2012.0,135.674,75.1,37.15
Alger,Algeria,36.7538,3.0588,2012.0,135.674,75.1,4.09
Alger,Algeria,36.7538,3.0588,2012.0,135.674,75.1,3.86
