indicator,year,value,type
co2,1802,2.239,history
co2,1804,2.176,history
co2,1810,2.121,history
co2,1811,2.052,history
co2,1812,2.217,history
co2,1813,2.048,history
co2,1814,2.092,history
co2,1815,2.341,history
co2,1816,2.499,history
co2,1817,2.66,history
co2,1818,2.382,history
co2,1819,2.557,history
co2,1820,2.902,history
co2,1821,3.012,history
co2,1822,3.169,history
co2,1823,3.169,history
co2,1824,3.517,history
co2,1825,3.957,history
co2,1826,4.089,history
co2,1827,5.91,history
co2,1828,6.243,history
co2,1829,6.075,history
co2,1830,6.551,history
co2,1831,6.053,history
co2,1832,6.679,history
co2,1833,7.247,history
co2,1834,8.922,history
co2,1835,9.259,history
co2,1836,10.637,history
co2,1837,11.351,history
co2,1838,11.868,history
co2,1839,11.571,history
co2,1840,11.798,history
co2,1841,13.821,history
co2,1842,14.528,history
co2,1843,14.55,history
co2,1844,15.261,history
co2,1845,17.836,history
co2,1846,18.529,history
co2,1847,20.841,history
co2,1848,16.69,history
co2,1849,17.386,history
co2,1850,19.617,history
co2,1851,20.038,history
co2,1852,21.57,history
co2,1853,25.34,history
co2,1854,29.213,history
co2,1855,33.071,history
co2,1856,34.632,history
co2,1857,35.281,history
co2,1858,34.595,history
co2,1859,34.991,history
co2,1860,38.131,history
co2,1861,41.242,history
co2,1862,43.525,history
co2,1863,44.188,history
co2,1864,46.83,history
co2,1865,49.303,history
co2,1866,53.56,history
co2,1867,54.278,history
co2,1868,55.532,history
co2,1869,56.942,history
co2,1870,50.538,history
co2,1871,50.263,history
co2,1872,60.925,history
co2,1873,65.849,history
co2,1874,62.643,history
co2,1875,65.26,history
co2,1876,65.358,history
co2,1877,63.926,history
co2,1878,65.223,history
co2,1879,67.498,history
co2,1880,76.149,history
co2,1881,77.985,history
co2,1882,82.308,history
co2,1883,86.32,history
co2,1884,82.913,history
co2,1885,79.714,history
co2,1886,79.073,history
co2,1887,83.29,history
co2,1888,86.654,history
co2,1889,88.797,history
co2,1890,97.818,history
co2,1891,97.983,history
co2,1892,98.122,history
co2,1893,96.33,history
co2,1894,101.9,history
co2,1895,102.775,history
co2,1896,106.282,history
co2,1897,111.261,history
co2,1898,115.046,history
co2,1899,120.3,history
co2,1900,129.277,history
co2,1901,125.005,history
co2,1902,117.662,history
co2,1903,129.343,history
co2,1904,125.998,history
co2,1905,127.427,history
co2,1906,136.568,history
co2,1907,145.596,history
co2,1908,146.714,history
co2,1909,150.096,history
co2,1910,150.612,history
co2,1911,156.907,history
co2,1912,158.578,history
co2,1913,171.112,history
co2,1914,118.351,history
co2,1915,103.233,history
co2,1916,109.689,history
co2,1917,121.604,history
co2,1918,108.451,history
co2,1919,116.141,history
co2,1920,151.778,history
co2,1921,137.909,history
co2,1922,163.151,history
co2,1923,184.189,history
co2,1924,206.635,history
co2,1925,213.827,history
co2,1926,213.732,history
co2,1927,213.04,history
co2,1928,211.619,history
co2,1929,234.282,history
co2,1930,237.634,history
co2,1931,217.494,history
co2,1932,191.775,history
co2,1933,199.387,history
co2,1934,201.35,history
co2,1935,195.372,history
co2,1936,198.079,history
co2,1937,217.705,history
co2,1938,201.798,history
co2,1939,194.617,history
co2,1940,137.737,history
co2,1941,119.927,history
co2,1942,122.496,history
co2,1943,125.246,history
co2,1944,79.986,history
co2,1945,107.166,history
co2,1946,165.245,history
co2,1947,183.624,history
co2,1948,196.501,history
co2,1949,229.051,history
co2,1950,202.279,history
co2,1951,228.729,history
co2,1952,226.986,history
co2,1953,214.548,history
co2,1954,226.352,history
co2,1955,238.982,history
co2,1956,268.499,history
co2,1957,277.497,history
co2,1958,266.154,history
co2,1959,261.89,history
